episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
86,-76.04,-88.27,-63.80,31,28,22,19,5.98,1.1,0.5
87,-78.00,-88.59,-67.40,29,32,21,18,6.15,1.1,0.3
88,-84.84,-99.48,-70.20,29,33,25,13,6.00,0.9,0.1
89,-79.21,-92.02,-66.40,28,25,31,16,3.71,1.0,0.3
90,-84.12,-96.44,-71.80,17,31,32,20,4.17,1.0,0.3
91,-81.69,-96.19,-67.20,29,31,26,14,5.95,0.9,0.3
92,-82.61,-97.03,-68.20,20,37,26,17,7.64,1.0,0.2
93,-80.00,-99.80,-60.20,24,32,23,21,6.34,0.8,0.2
94,-81.79,-97.38,-66.20,19,38,27,16,4.95,1.1,0.1
95,-78.66,-95.53,-61.80,28,34,22,16,5.48,1.1,0.2
96,-78.16,-97.51,-58.80,23,47,24,6,11.57,1.0,0.4
97,-79.65,-95.11,-64.20,31,34,22,13,11.49,1.2,0.2
98,-82.75,-99.89,-65.60,30,43,18,9,13.42,0.9,0.1
99,-84.23,-99.85,-68.60,24,32,24,20,3.30,0.8,0.2
100,-82.10,-98.19,-66.00,34,30,22,14,2.01,1.0,0.1
101,-82.53,-92.66,-72.40,18,30,27,25,2.38,1.1,0.1
102,-80.60,-99.80,-61.40,25,34,29,12,9.23,0.8,0.3
103,-79.31,-96.03,-62.60,28,37,17,18,6.40,1.0,0.2
104,-80.13,-99.26,-61.00,19,43,29,9,10.46,0.9,0.3
105,-85.67,-99.73,-71.60,24,34,26,16,0.48,0.9,0.2
106,-82.34,-99.88,-64.80,17,38,28,17,8.33,0.8,0.1
107,-81.19,-99.39,-63.00,21,42,31,6,13.27,0.9,0.2
108,-81.33,-98.26,-64.40,28,31,36,5,4.72,0.9,0.2
109,-78.55,-93.51,-63.60,25,35,32,8,6.97,1.2,0.2
110,-78.35,-91.11,-65.60,13,33,40,14,6.82,1.1,0.3
111,-81.52,-94.84,-68.20,28,29,31,12,5.23,0.9,0.3
112,-82.55,-97.09,-68.00,19,36,33,12,7.06,1.1,0.1
113,-81.34,-99.67,-63.00,19,38,40,3,12.01,0.9,0.2
114,-85.22,-98.44,-72.00,20,33,40,7,5.98,0.9,0.3
115,-76.61,-88.23,-65.00,13,42,39,6,10.40,1.1,0.4
116,-80.89,-96.18,-65.60,23,34,39,4,12.50,0.9,0.5
117,-79.58,-94.36,-64.80,26,38,25,11,2.50,1.0,0.2
118,-76.60,-99.79,-53.40,13,51,33,3,15.51,0.9,0.3
119,-81.50,-99.80,-63.20,8,45,39,8,11.72,0.8,0.3
120,-76.66,-90.13,-63.20,14,35,46,5,6.94,1.1,0.3
121,-80.36,-99.92,-60.80,10,48,36,6,9.08,0.8,0.2
122,-79.23,-98.07,-60.40,15,52,27,6,5.14,0.9,0.5
123,-79.34,-98.28,-60.40,21,52,24,3,7.20,1.0,0.3
124,-79.25,-97.69,-60.80,14,53,25,8,6.42,0.9,0.4
125,-79.59,-93.38,-65.80,21,44,17,18,3.81,1.0,0.5
126,-82.22,-98.04,-66.40,13,51,28,8,4.51,0.9,0.4
127,-76.88,-97.16,-56.60,7,68,19,6,11.86,1.0,0.4
128,-79.45,-99.90,-59.00,12,58,22,8,6.20,0.8,0.1
129,-77.42,-91.24,-63.60,21,50,22,7,5.13,1.1,0.5
130,-78.00,-93.39,-62.60,18,50,22,10,2.42,1.1,0.2
131,-78.66,-98.73,-58.60,9,66,22,3,8.96,0.9,0.3
132,-77.78,-99.55,-56.00,8,76,12,4,9.18,1.0,0.2
133,-76.32,-98.05,-54.60,9,68,15,8,11.44,1.0,0.3
134,-75.61,-98.81,-52.40,8,79,10,3,8.09,1.0,0.3
135,-80.50,-99.00,-62.00,11,57,24,8,4.49,0.8,0.3
136,-73.90,-95.59,-52.20,7,77,9,7,9.10,1.1,0.3
137,-79.77,-98.74,-60.80,7,61,22,10,4.30,1.0,0.1
138,-76.94,-94.68,-59.20,7,73,14,6,5.14,1.1,0.2
139,-74.86,-94.73,-55.00,9,75,11,5,7.47,1.0,0.3
140,-73.29,-91.57,-55.00,14,59,22,5,6.31,1.2,0.1
141,-76.71,-91.82,-61.60,13,58,16,13,3.70,1.1,0.5
142,-75.30,-93.19,-57.40,7,73,16,4,7.35,1.1,0.3
143,-79.90,-96.39,-63.40,18,61,9,12,3.54,1.0,0.2
144,-73.16,-93.12,-53.20,7,77,12,4,11.90,1.0,0.4
145,-78.23,-88.25,-68.20,20,44,26,10,2.34,1.2,0.2
146,-81.02,-95.04,-67.00,18,44,22,16,1.65,1.0,0.2
147,-78.42,-99.44,-57.40,13,68,16,3,6.43,1.0,0.2
148,-73.16,-88.52,-57.80,13,71,12,4,4.07,1.1,0.5
149,-75.24,-95.49,-55.00,6,77,10,7,7.49,1.0,0.3
150,-83.07,-96.35,-69.80,8,65,20,7,2.39,1.1,0.2
151,-76.73,-98.45,-55.00,7,69,14,10,5.92,1.0,0.2
152,-79.24,-97.28,-61.20,9,75,16,0,4.46,0.8,0.5
153,-72.63,-94.66,-50.60,4,84,8,4,10.77,1.0,0.5
154,-78.22,-99.44,-57.00,13,68,17,2,4.56,0.9,0.3
155,-77.45,-95.50,-59.40,12,63,21,4,4.01,1.1,0.1
156,-74.63,-95.67,-53.60,8,84,6,2,9.79,0.9,0.4
157,-73.77,-87.94,-59.60,13,60,21,6,4.28,1.2,0.3
158,-75.22,-99.44,-51.00,4,87,7,2,9.56,0.9,0.1
159,-74.11,-91.03,-57.20,12,68,15,5,5.87,1.1,0.4
160,-70.53,-94.27,-46.80,4,88,7,1,10.31,1.1,0.4
161,-76.23,-99.66,-52.80,7,81,8,4,9.52,0.8,0.2
162,-78.99,-98.99,-59.00,12,74,14,0,4.92,0.8,0.3
163,-77.17,-99.94,-54.40,5,86,8,1,8.14,0.8,0.1
164,-77.07,-98.13,-56.00,6,79,12,3,8.01,0.9,0.5
165,-75.64,-95.88,-55.40,10,78,8,4,7.30,1.2,0.2
166,-80.38,-94.56,-66.20,19,59,12,10,2.85,1.0,0.5
167,-78.07,-92.13,-64.00,14,65,15,6,2.05,1.1,0.2
168,-73.72,-94.65,-52.80,6,76,13,5,4.62,1.1,0.5
169,-76.33,-99.47,-53.20,6,82,7,5,5.92,0.9,0.1
170,-76.24,-94.47,-58.00,6,78,13,3,6.07,1.1,0.4
171,-74.94,-99.68,-50.20,2,89,7,2,9.27,0.9,0.2
172,-71.42,-93.44,-49.40,3,92,4,1,7.62,1.1,0.4
173,-72.18,-94.17,-50.20,4,92,2,2,6.66,1.0,0.3
174,-75.87,-96.13,-55.60,6,77,12,5,5.87,1.0,0.4
175,-71.05,-93.50,-48.60,3,90,6,1,13.35,1.1,0.2
176,-77.10,-95.99,-58.20,7,85,3,5,4.46,0.9,0.3
177,-71.65,-85.11,-58.20,5,84,6,5,5.75,1.2,0.4
178,-78.85,-99.90,-57.80,6,87,4,3,4.88,0.9,0.2
179,-76.82,-96.03,-57.60,14,77,5,4,3.01,1.0,0.2
180,-75.85,-85.50,-66.20,10,78,9,3,0.50,1.1,0.4
181,-73.39,-93.98,-52.80,4,91,3,2,7.85,1.1,0.4
182,-75.14,-96.28,-54.00,4,91,3,2,3.36,1.1,0.1
183,-75.49,-99.57,-51.40,2,94,2,2,6.12,0.9,0.2
184,-73.91,-99.21,-48.60,3,96,0,1,10.70,0.9,0.3
185,-76.46,-99.92,-53.00,6,90,4,0,4.78,0.8,0.1
186,-77.02,-90.64,-63.40,6,78,10,6,2.54,0.9,0.4
187,-72.86,-88.32,-57.40,7,87,4,2,4.68,1.2,0.4
188,-72.89,-95.18,-50.60,4,89,4,3,7.23,1.0,0.4
189,-77.25,-99.91,-54.60,5,89,3,3,5.04,0.8,0.2
190,-74.95,-92.71,-57.20,8,80,8,4,5.99,1.1,0.1
191,-73.25,-86.50,-60.00,6,83,4,7,3.31,1.1,0.3
192,-74.58,-92.56,-56.60,5,87,5,3,3.79,1.0,0.4
193,-74.94,-96.68,-53.20,4,91,4,1,4.32,0.9,0.4
194,-74.10,-85.99,-62.20,9,82,7,2,4.01,1.1,0.3
195,-72.89,-90.78,-55.00,1,90,2,7,7.83,1.1,0.4
196,-72.29,-94.17,-50.40,4,89,4,3,3.32,1.1,0.1
197,-76.29,-95.39,-57.20,2,91,6,1,4.72,1.0,0.2
198,-70.65,-94.30,-47.00,4,94,1,1,8.99,1.0,0.4
199,-74.55,-99.29,-49.80,3,93,2,2,8.12,0.9,0.2
200,-79.35,-99.89,-58.80,8,84,5,3,3.26,0.8,0.4
201,-76.90,-98.60,-55.20,4,84,7,5,3.85,1.0,0.2
202,-76.53,-95.26,-57.80,10,74,9,7,2.44,0.9,0.5
203,-79.06,-99.92,-58.20,11,84,4,1,3.35,0.8,0.1
204,-75.87,-98.35,-53.40,4,84,9,3,6.56,0.9,0.4
205,-76.49,-88.38,-64.60,7,83,8,2,1.57,1.1,0.5
206,-69.45,-86.71,-52.20,3,94,2,1,4.50,1.2,0.4
207,-76.71,-90.02,-63.40,12,81,5,2,2.30,1.0,0.4
208,-81.37,-96.93,-65.80,10,72,13,5,1.27,0.9,0.4
