episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
1,-75.90,-79.00,-72.80,21,28,27,24,0.47
2,-77.55,-79.09,-76.00,20,25,30,25,0.77
3,-88.05,-99.69,-76.40,32,25,20,23,0.54
4,-79.09,-78.19,-80.00,27,24,25,24,0.18
5,-83.62,-93.85,-73.40,26,21,26,27,1.60
6,-85.44,-97.87,-73.00,29,36,17,18,0.64
7,-79.08,-88.16,-70.00,24,27,29,20,0.66
8,-88.50,-98.19,-78.80,25,19,21,35,1.40
9,-83.59,-91.39,-75.80,24,28,26,22,0.54
10,-85.37,-99.74,-71.00,27,16,27,30,1.10
11,-76.19,-73.19,-79.20,26,19,34,21,0.32
12,-83.16,-89.11,-77.20,25,23,26,26,0.19
13,-85.87,-96.75,-75.00,29,21,28,22,0.16
14,-79.82,-90.65,-69.00,22,25,25,28,1.62
15,-83.21,-97.02,-69.40,29,26,26,19,2.04
16,-75.84,-78.28,-73.40,23,22,29,26,1.54
17,-84.81,-97.21,-72.40,31,27,23,19,0.69
18,-77.12,-82.23,-72.00,28,30,27,15,0.17
19,-79.25,-87.90,-70.60,21,17,34,28,1.39
20,-88.47,-96.73,-80.20,24,17,32,27,0.55
21,-84.42,-97.24,-71.60,20,26,29,25,1.02
22,-79.15,-83.50,-74.80,17,24,29,30,1.07
23,-82.32,-91.24,-73.40,29,18,21,32,0.99
24,-80.43,-87.26,-73.60,21,21,23,35,1.64
25,-82.22,-96.45,-68.00,19,21,30,30,3.94
26,-73.26,-69.72,-76.80,29,23,29,19,0.01
27,-87.27,-97.34,-77.20,27,18,29,26,1.60
28,-88.23,-99.46,-77.00,26,29,21,24,0.38
29,-82.33,-82.66,-82.00,20,16,32,32,0.10
30,-87.58,-98.35,-76.80,30,18,21,31,0.06
31,-82.45,-90.30,-74.60,32,33,17,18,1.14
32,-74.46,-74.93,-74.00,27,18,26,29,0.21
33,-76.91,-82.02,-71.80,30,25,21,24,1.54
34,-84.97,-97.34,-72.60,22,25,27,26,0.91
35,-83.04,-91.88,-74.20,27,19,32,22,0.11
36,-74.41,-78.02,-70.80,33,24,22,21,0.24
37,-85.55,-98.69,-72.40,32,20,28,20,2.19
38,-79.47,-84.15,-74.80,30,20,25,25,1.35
39,-83.66,-95.13,-72.20,26,14,33,27,0.09
40,-83.08,-92.55,-73.60,25,26,26,23,0.04
41,-82.34,-93.48,-71.20,24,30,27,19,0.84
42,-85.59,-97.17,-74.00,22,20,36,22,4.53
