P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
0.423584908246994,0.2284069061279297,0.06363829225301743,0.2843698263168335,COVERT,,0,0,0,1,0,False
0.4036744236946106,0.23469571769237518,0.07052351534366608,0.2911064028739929,SSPT,,1,0,0,1,0,False
0.4419463276863098,0.21408365666866302,0.06050403043627739,0.28346601128578186,COVERT,,1,0,0,2,0,False
0.45505285263061523,0.20650042593479156,0.0511910542845726,0.2872557044029236,SSPT,,2,0,0,2,0,False
0.46054723858833313,0.2134607881307602,0.04585297405719757,0.2801389992237091,SSPT,,3,0,0,2,0,False
0.47661229968070984,0.19856767356395721,0.0343487374484539,0.29047131538391113,COVERT,,3,0,0,3,0,False
0.45405328273773193,0.21633654832839966,0.0441163033246994,0.2854938805103302,ATCS,,3,1,0,3,0,False
0.5187550187110901,0.18225771188735962,0.015864619985222816,0.283122718334198,COVERT,,3,1,0,4,0,False
0.49661558866500854,0.19439652562141418,0.034779928624629974,0.2742078900337219,SSPT,,4,1,0,4,0,False
0.5002501606941223,0.1941414177417755,0.03281839191913605,0.27279001474380493,SSPT,,5,1,0,4,0,False
0.4433102011680603,0.21794383227825165,0.05775462090969086,0.2809913456439972,SSPT,,6,1,0,4,0,False
0.47051098942756653,0.2094241827726364,0.0456998236477375,0.27436500787734985,SSPT,,7,1,0,4,0,False
0.44625523686408997,0.2156553566455841,0.05152608081698418,0.28656336665153503,COVERT,,7,1,0,5,0,False
0.45773983001708984,0.20188245177268982,0.042585961520671844,0.2977917492389679,ATCS,,7,2,0,5,0,False
0.47423145174980164,0.1924574077129364,0.03502610698342323,0.29828500747680664,ATCS,,7,3,0,5,0,False
0.49169713258743286,0.18334002792835236,0.029024120420217514,0.295938640832901,SSPT,,8,3,0,5,0,False
0.5367034673690796,0.1703898012638092,0.021334555000066757,0.27157220244407654,COVERT,,8,3,0,6,0,False
0.3912893831729889,0.23525193333625793,0.0807720273733139,0.29268667101860046,ATCS,,8,4,0,6,0,False
0.4124257564544678,0.22503261268138885,0.06878069043159485,0.2937609553337097,ATCS,,8,5,0,6,0,False
0.3991289436817169,0.23178152740001678,0.07606518268585205,0.29302436113357544,SSPT,,9,5,0,6,0,False
0.41682127118110657,0.22547779977321625,0.0634162575006485,0.2942847013473511,ATCS,,9,6,0,6,0,False
0.419082909822464,0.22650940716266632,0.06450728327035904,0.2899005115032196,COVERT,,9,6,0,7,0,False
0.4592061936855316,0.217588871717453,0.04387814551591873,0.27932679653167725,SSPT,,10,6,0,7,0,False
0.42020463943481445,0.228424534201622,0.061504065990448,0.28986677527427673,ATCS,,10,7,0,7,0,False
0.5442502498626709,0.16944721341133118,0.013345352374017239,0.2729572057723999,COVERT,,10,7,0,8,0,False
0.5121046304702759,0.17879293859004974,0.027006877586245537,0.2820955216884613,ATCS,,10,8,0,8,0,False
0.5642675757408142,0.1627919226884842,0.020271463319659233,0.2526690661907196,SSPT,,11,8,0,8,0,False
0.6055229306221008,0.13788947463035583,0.006161107681691647,0.2504265308380127,SSPT,,12,8,0,8,0,False
0.5766403675079346,0.1547451764345169,0.008649316616356373,0.25996512174606323,SSPT,,13,8,0,8,0,False
0.5391753315925598,0.17718173563480377,0.020751524716615677,0.26289141178131104,COVERT,,13,8,0,9,1,False
0.5994749069213867,0.15704558789730072,0.013167283497750759,0.2303122729063034,COVERT,,13,8,0,10,1,False
0.5626884698867798,0.1702972948551178,0.022206082940101624,0.2448081374168396,ATCS,,13,9,0,10,1,False
0.5572015643119812,0.17133797705173492,0.02011990174651146,0.2513405978679657,SSPT,,14,9,0,10,1,False
0.5406832098960876,0.16715776920318604,0.018457477912306786,0.2737015187740326,SSPT,,15,9,0,10,1,False
0.5781717300415039,0.1729593425989151,0.013930138200521469,0.23493878543376923,SSPT,,16,9,0,10,2,True
0.5398029088973999,0.1799185574054718,0.01774859055876732,0.26252996921539307,SSPT,,17,9,0,10,2,True
0.533728837966919,0.18764200806617737,0.025939345359802246,0.25268983840942383,SSPT,,18,9,0,10,3,True
0.5007838606834412,0.2064819633960724,0.033220354467630386,0.25951382517814636,SSPT,,19,9,0,10,2,True
0.4822818636894226,0.20447146892547607,0.03730984032154083,0.27593687176704407,COVERT,,19,9,0,11,2,True
0.5326111912727356,0.18210893869400024,0.019492486491799355,0.26578736305236816,SSPT,,20,9,0,11,1,True
0.5183230042457581,0.18585245311260223,0.029494628310203552,0.26632991433143616,SSPT,,21,9,0,11,1,True
0.5293877124786377,0.18335668742656708,0.026376979425549507,0.26087862253189087,ATCS,,21,10,0,11,1,True
0.5751519203186035,0.16635392606258392,0.0139542231336236,0.24453994631767273,SSPT,,22,10,0,11,1,True
0.5462734699249268,0.18279176950454712,0.020904919132590294,0.25002992153167725,ATCS,,22,11,0,11,1,True
0.5453823208808899,0.17766748368740082,0.025992289185523987,0.25095799565315247,ATCS,,22,12,0,11,2,True
0.5621849894523621,0.17592941224575043,0.022678589448332787,0.23920699954032898,COVERT,,22,12,0,12,2,True
0.5369483232498169,0.19159559905529022,0.02398315817117691,0.2474728673696518,ATCS,,22,13,0,12,2,True
0.5140844583511353,0.1975129395723343,0.030300769954919815,0.25810185074806213,SSPT,,23,13,0,12,1,True
0.49818527698516846,0.2056347280740738,0.03268108889460564,0.2634989619255066,SSPT,,24,13,0,12,1,True
