P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,6.876562430591093e-09,3.3827164160060708e-12,1.4510956325430868e-10,SSPT,,1,0,0,0,0,False
1.0,6.301628552307648e-09,2.9379797206186e-12,1.208056849000272e-10,SSPT,,2,0,0,0,0,False
1.0,5.80746961631462e-09,2.943656169512865e-12,1.4252590774255225e-10,SSPT,,3,0,0,0,0,False
1.0,5.413497650152976e-09,2.255008679785675e-12,1.014553718814426e-10,SSPT,,4,0,0,0,0,False
1.0,6.4887424322535026e-09,2.9758112207040055e-12,1.3005652110820165e-10,SSPT,,5,0,0,0,0,False
1.0,7.269167934254028e-09,4.10912276427311e-12,1.9747117829815863e-10,SSPT,,6,0,0,0,0,False
1.0,4.938248920893784e-09,2.0277945989022328e-12,8.79994688229857e-11,SSPT,,7,0,0,0,0,False
1.0,7.589017414488808e-09,3.315719877480805e-12,1.6899498467282115e-10,SSPT,,8,0,0,0,0,False
1.0,5.5161959444660624e-09,2.032410264390938e-12,9.079131196854107e-11,SSPT,,9,0,0,0,0,False
1.0,6.059142076964008e-09,2.352085540224813e-12,1.0675348799393802e-10,SSPT,,10,0,0,0,0,False
1.0,5.448832496313116e-09,2.2576855749495417e-12,9.851864463117366e-11,SSPT,,11,0,0,0,0,False
1.0,4.71739758367562e-09,2.031642866093253e-12,8.308833482351119e-11,SSPT,,12,0,0,0,0,False
1.0,5.72000757870228e-09,2.693564338587806e-12,1.2526440995586086e-10,SSPT,,13,0,0,0,0,False
1.0,4.185525259714495e-09,1.4377133381385243e-12,6.396916329975966e-11,SSPT,,14,0,0,0,0,False
1.0,3.045618202079936e-09,8.655183232446351e-13,4.5538031678837854e-11,SSPT,,15,0,0,0,0,False
1.0,5.627204036073863e-09,2.1218784108240074e-12,1.2884397715406948e-10,SSPT,,16,0,0,0,0,False
1.0,3.786301050467955e-09,1.1551469416420934e-12,5.525889121282823e-11,SSPT,,17,0,0,0,0,False
1.0,4.198318137582646e-09,1.4620876124388227e-12,6.802614721523881e-11,SSPT,,18,0,0,0,0,False
1.0,3.1400018141169994e-09,1.0915829871949168e-12,4.69047682638557e-11,SSPT,,19,0,0,0,0,False
1.0,3.014059668515756e-09,9.817920131396929e-13,5.322483426217772e-11,SSPT,,20,0,0,0,0,False
1.0,2.509245478066191e-09,7.828289882647055e-13,4.15372562734273e-11,SSPT,,21,0,0,0,2,False
1.0,1.3910199658795364e-09,3.328454319887625e-13,1.9348403088037536e-11,SSPT,,22,0,0,0,2,False
1.0,1.4473729992303674e-09,3.553625221777018e-13,1.7104175714655057e-11,SSPT,,23,0,0,0,1,True
1.0,1.2940112315007468e-09,2.79290831997972e-13,1.5773793729523256e-11,SSPT,,24,0,0,0,1,True
1.0,2.307757540620514e-09,6.710901907965028e-13,3.406408488615398e-11,SSPT,,25,0,0,0,2,True
1.0,1.267942417726431e-09,4.377825142329317e-13,2.625123902977311e-11,SSPT,,26,0,0,0,5,True
1.0,4.162032940513427e-09,2.183958309337486e-12,9.196952921453061e-11,SSPT,,27,0,0,0,5,True
1.0,1.8971584303528743e-09,7.483125447418915e-13,4.168742087640176e-11,SSPT,,28,0,0,0,5,True
1.0,1.0245808645947818e-09,3.7296264709420213e-13,2.3925103218025434e-11,SSPT,,29,0,0,0,6,True
1.0,2.684669375696558e-09,1.2156694921550137e-12,5.7056619845452516e-11,SSPT,,30,0,0,0,6,True
1.0,1.001014493517971e-09,3.8442542877291375e-13,2.2230066745732024e-11,SSPT,,31,0,0,0,7,True
1.0,1.7270430641147527e-09,7.305151492401074e-13,3.6524037266838505e-11,SSPT,,32,0,0,0,6,True
1.0,6.498759308470881e-10,1.9282400112383136e-13,1.3293334315267469e-11,SSPT,,33,0,0,0,6,True
1.0,1.2696533824296807e-09,6.021536893240087e-13,3.1099761654829194e-11,SSPT,,34,0,0,0,7,True
1.0,1.4214318611038834e-09,8.217288611708784e-13,3.834554895831843e-11,SSPT,,35,0,0,0,8,True
1.0,2.443226065906856e-09,1.3475548801822335e-12,5.652175602555154e-11,SSPT,,36,0,0,0,7,True
1.0,1.2434040463915608e-09,6.391482395423642e-13,3.380112509332456e-11,SSPT,,37,0,0,0,7,True
1.0,1.3846881419254942e-09,6.104870298520582e-13,2.946179758489542e-11,SSPT,,38,0,0,0,6,True
1.0,2.0001558187487944e-09,9.021432689423903e-13,4.493818858697374e-11,SSPT,,39,0,0,0,5,True
1.0,2.6250663864857415e-09,1.0909690035046382e-12,5.6913692508819835e-11,SSPT,,40,0,0,0,4,True
1.0,1.3307934754180906e-09,4.4568192994649813e-13,2.526300696414907e-11,SSPT,,41,0,0,0,5,True
1.0,1.7991903522585062e-09,5.89377234083005e-13,3.049800689769455e-11,SSPT,,42,0,0,0,4,True
1.0,3.209857712960229e-09,1.3699198025962644e-12,6.154306925187925e-11,SSPT,,43,0,0,0,4,True
1.0,2.9396658440816736e-09,1.376567479796642e-12,5.859792512330486e-11,SSPT,,44,0,0,0,5,True
1.0,1.6393785218227208e-09,5.840928326943107e-13,3.183630095660028e-11,SSPT,,45,0,0,0,5,True
1.0,2.040870139552453e-09,7.587424070108761e-13,3.791211442005782e-11,SSPT,,46,0,0,0,4,True
1.0,1.2839631580163768e-09,3.6844458690607484e-13,2.064495796538779e-11,SSPT,,47,0,0,0,4,True
1.0,1.939886251633993e-09,8.391451596090338e-13,3.690652991550358e-11,SSPT,,48,0,0,0,4,True
1.0,2.2431294599556395e-09,1.0334032891565204e-12,4.955038115928012e-11,SSPT,,49,0,0,0,5,True
1.0,5.497465815906821e-10,1.453675233572399e-13,1.0137097758433633e-11,SSPT,,50,0,0,0,6,True
1.0,7.350713371323536e-10,2.5977166923617234e-13,1.4589293315103724e-11,SSPT,,51,0,0,0,7,True
1.0,1.0624165991401924e-09,5.441457831198426e-13,2.6888021323334677e-11,SSPT,,52,0,0,0,8,True
1.0,1.374357960770567e-09,6.032791453891573e-13,3.159336681157754e-11,SSPT,,53,0,0,0,7,True
1.0,1.2079744982074203e-09,5.179298287992518e-13,2.8838605115044658e-11,SSPT,,54,0,0,0,7,True
1.0,7.7823592015136e-10,3.911993613162773e-13,2.0536289682682174e-11,SSPT,,55,0,0,0,8,True
1.0,7.2913258764018e-10,3.4417697099449474e-13,2.001726215339339e-11,SSPT,,56,0,0,0,8,True
1.0,9.917233700917905e-10,4.398238500832874e-13,2.4831475417541604e-11,SSPT,,57,0,0,0,7,True
1.0,2.215373218206196e-09,1.3418661798034193e-12,5.943687209075676e-11,SSPT,,58,0,0,0,7,True
1.0,2.1323329768563326e-09,1.0715811918360352e-12,4.9271232926972885e-11,SSPT,,59,0,0,0,6,True
1.0,3.030702355744097e-09,1.6660979236873819e-12,6.60017734910312e-11,SSPT,,60,0,0,0,6,True
1.0,3.1610398742998314e-09,1.861884778298073e-12,7.914278260523488e-11,SSPT,,61,0,0,0,6,True
1.0,1.2869887378030853e-09,4.926648282041479e-13,2.807872163945735e-11,SSPT,,62,0,0,0,6,True
1.0,1.899620682976888e-09,9.039535070996807e-13,4.427423705433142e-11,SSPT,,63,0,0,0,6,True
1.0,1.357450041261643e-09,5.981940203597658e-13,3.60566125567896e-11,SSPT,,64,0,0,0,6,True
1.0,7.054107853399216e-10,2.659522450355889e-13,1.5373520165229415e-11,SSPT,,65,0,0,0,7,True
