P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,3.104994705793729e-09,9.516925008473676e-13,6.593797730047868e-11,SSPT,,1,0,0,0,0,False
1.0,1.016355444249939e-09,2.533555505147833e-13,1.9547297808175657e-11,SSPT,,2,0,0,0,0,False
1.0,1.876358179941917e-09,4.706226185667572e-13,2.7103973579412077e-11,SSPT,,3,0,0,0,0,False
1.0,1.905230417875714e-09,5.327810133175237e-13,3.2593639592848334e-11,SSPT,,4,0,0,0,0,False
1.0,2.4798654241209306e-09,7.765280931291973e-13,5.6213304844288103e-11,SSPT,,5,0,0,0,0,False
1.0,1.6713457284822653e-09,4.410764017481056e-13,2.6655736645730954e-11,SSPT,,6,0,0,0,0,False
1.0,2.839510626628794e-09,1.0069684886274133e-12,6.65874716476722e-11,SSPT,,7,0,0,0,0,False
1.0,1.5219749904815671e-09,4.183553460254674e-13,2.4814856766641746e-11,SSPT,,8,0,0,0,0,False
1.0,1.9077468493833294e-09,5.369238582388081e-13,3.2538107624935364e-11,SSPT,,9,0,0,0,0,False
1.0,1.7278272146370455e-09,4.651671842853533e-13,2.7332604929375393e-11,SSPT,,10,0,0,0,0,False
1.0,1.457187148723449e-09,3.5322507180475526e-13,2.1843719541503326e-11,SSPT,,11,0,0,0,0,False
1.0,1.6048790074663088e-09,4.029443066103783e-13,2.3401881127371738e-11,SSPT,,12,0,0,0,0,False
1.0,1.470564114924855e-09,4.213013130634907e-13,3.0379219972953564e-11,SSPT,,13,0,0,0,0,False
1.0,1.1485665751820306e-09,2.484570979944395e-13,1.4697718736522702e-11,SSPT,,14,0,0,0,0,False
1.0,1.1490310924955338e-09,2.4536584786530313e-13,1.4755356658735508e-11,SSPT,,15,0,0,0,0,False
1.0,8.396075501515554e-10,1.7388926399058285e-13,1.404805959059896e-11,SSPT,,16,0,0,0,0,False
1.0,1.6708230354822717e-09,5.281148782176892e-13,3.1716962389793935e-11,SSPT,,17,0,0,0,0,False
1.0,9.400755729416232e-10,1.9166383703663609e-13,1.5082554996603825e-11,SSPT,,18,0,0,0,0,False
1.0,9.458164251796575e-10,1.9758051802726967e-13,1.4904960946027224e-11,SSPT,,19,0,0,0,0,False
1.0,1.1937144606122274e-09,3.3487551924157866e-13,2.1958428131352292e-11,SSPT,,20,0,0,0,0,False
1.0,1.583011166594872e-09,3.9991230812996825e-13,2.2151849798923706e-11,SSPT,,21,0,0,0,0,False
1.0,1.358390289141198e-09,3.038058086352047e-13,2.1041024825252386e-11,SSPT,,22,0,0,0,0,False
1.0,1.0068086364611872e-09,2.2344481137321487e-13,1.951406917999332e-11,SSPT,,23,0,0,0,0,False
1.0,8.60084059528532e-10,1.578292753651525e-13,1.0164067504314644e-11,SSPT,,24,0,0,0,0,False
1.0,1.0644327641529117e-09,2.0866790825628534e-13,1.306589038352346e-11,SSPT,,25,0,0,0,0,False
1.0,9.839550285661858e-10,2.0629861480127992e-13,1.447181090241667e-11,SSPT,,26,0,0,0,0,False
1.0,1.2539068672268172e-09,3.200454766656702e-13,2.0480860063454287e-11,SSPT,,27,0,0,0,1,False
1.0,1.3595436998414812e-09,3.204791846397187e-13,2.215522904025491e-11,SSPT,,28,0,0,0,1,False
1.0,1.1257219600935287e-09,2.514290045694395e-13,1.7445085306877495e-11,SSPT,,29,0,0,0,1,True
1.0,1.3146447264134054e-09,3.329578095439406e-13,2.2932489240901077e-11,SSPT,,30,0,0,0,1,True
1.0,1.7857337830662345e-09,5.271949868844439e-13,3.3297847118474166e-11,SSPT,,31,0,0,0,1,True
1.0,1.4653143143306124e-09,3.478821777088553e-13,2.400179881234532e-11,SSPT,,32,0,0,0,0,True
1.0,1.1615758355176808e-09,2.6533511715901015e-13,1.803861574001253e-11,SSPT,,33,0,0,0,0,True
1.0,1.1706080549345188e-09,2.755010033040489e-13,2.1817820120006992e-11,SSPT,,34,0,0,0,0,True
1.0,1.7319813361282854e-09,4.752012043411635e-13,2.8065924584375068e-11,SSPT,,35,0,0,0,0,True
1.0,1.9564774245139915e-09,5.619287587327326e-13,3.327251668627795e-11,SSPT,,36,0,0,0,0,True
1.0,1.97078819930141e-09,5.424473804166441e-13,3.1310100345738334e-11,SSPT,,37,0,0,0,0,True
1.0,2.0478145845714835e-09,5.658965592132692e-13,3.392248287825694e-11,SSPT,,38,0,0,0,0,True
1.0,1.523912551704143e-09,3.7601402568844533e-13,2.4925906824679878e-11,SSPT,,39,0,0,0,0,True
