P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,4.5860057973357016e-09,1.8247272182830843e-12,9.015094920572508e-11,SSPT,,1,0,0,0,0,False
1.0,6.471611690983536e-09,3.1877844548083845e-12,1.738179045140953e-10,SSPT,,2,0,0,0,0,False
1.0,4.637657813333362e-09,1.875417789815037e-12,8.90023124644479e-11,SSPT,,3,0,0,0,0,False
1.0,4.9116652967029495e-09,2.0072305362967002e-12,9.814971752009072e-11,SSPT,,4,0,0,0,0,False
1.0,4.115639384849601e-09,1.5629197155225816e-12,1.0124601157457391e-10,SSPT,,5,0,0,0,0,False
1.0,3.7239686889734003e-09,1.3734203661505684e-12,7.27713722614709e-11,SSPT,,6,0,0,0,0,False
1.0,4.331653258304868e-09,1.7712836405947563e-12,8.614791519034881e-11,SSPT,,7,0,0,0,0,False
1.0,4.5860057973357016e-09,1.8247272182830843e-12,9.015094920572508e-11,SSPT,,8,0,0,0,0,False
1.0,4.871137715412033e-09,2.0337247511048595e-12,9.448747340101704e-11,SSPT,,9,0,0,0,0,False
1.0,3.915218815819799e-09,1.5737904686050075e-12,7.782266497891044e-11,SSPT,,10,0,0,0,0,False
1.0,3.6567848749058385e-09,1.3274932368634307e-12,6.534727620133296e-11,SSPT,,11,0,0,0,0,False
1.0,3.748075627640901e-09,1.3269641462032578e-12,6.404130697967858e-11,SSPT,,12,0,0,0,0,False
1.0,3.91562959833891e-09,1.468123582773484e-12,7.212894170827155e-11,SSPT,,13,0,0,0,0,False
1.0,4.009051757236648e-09,1.6356374804918361e-12,9.84320541741468e-11,SSPT,,14,0,0,0,0,False
1.0,5.327983831904248e-09,1.9293336459696997e-12,1.1681139389096984e-10,SSPT,,15,0,0,0,0,False
1.0,3.000316883827736e-09,1.0324851867568596e-12,5.6060617953379577e-11,SSPT,,16,0,0,0,1,False
1.0,2.3739710197645536e-09,7.167957633696931e-13,4.338817846671894e-11,SSPT,,17,0,0,0,1,True
1.0,4.162040934119204e-09,1.7771007105107928e-12,9.131701644848889e-11,SSPT,,18,0,0,0,2,True
1.0,4.150245036527167e-09,1.5048007328058444e-12,8.042237709116051e-11,SSPT,,19,0,0,0,1,True
1.0,4.047961965625291e-09,1.5787602345232465e-12,8.362572440079319e-11,SSPT,,20,0,0,0,1,True
1.0,6.437300914541311e-09,2.817543507532827e-12,1.4382853241734495e-10,SSPT,,21,0,0,0,0,True
1.0,4.555388954941009e-09,1.7899867785914347e-12,8.105870141772442e-11,SSPT,,22,0,0,0,0,True
1.0,3.1162734615008958e-09,9.935943127287183e-13,5.766524757699898e-11,SSPT,,23,0,0,0,0,True
1.0,3.2055076371051427e-09,1.2020429139905642e-12,7.760861397976271e-11,SSPT,,24,0,0,0,1,True
1.0,3.1697762192806067e-09,1.137294468669947e-12,6.441839422999251e-11,SSPT,,25,0,0,0,1,True
1.0,4.541152787140845e-09,2.054258672889997e-12,9.712491227942266e-11,SSPT,,26,0,0,0,2,True
1.0,3.7081699932883794e-09,1.5895045696323606e-12,7.417679664944998e-11,SSPT,,27,0,0,0,2,True
1.0,3.537267367903496e-09,1.6440229169342735e-12,8.832384129631166e-11,SSPT,,28,0,0,0,3,True
1.0,4.141309961624984e-09,2.3096607092154553e-12,1.1655901244189693e-10,SSPT,,29,0,0,0,3,True
1.0,3.562665273904031e-09,1.6218072891593938e-12,8.712533472454709e-11,SSPT,,30,0,0,0,3,True
1.0,3.4985250252361766e-09,1.42477652939621e-12,7.750048519605812e-11,SSPT,,31,0,0,0,2,True
1.0,2.3683404126728647e-09,7.155936542109498e-13,4.399123773590752e-11,SSPT,,32,0,0,0,1,True
1.0,2.076388616600866e-09,6.750802174215753e-13,4.189466829007671e-11,SSPT,,33,0,0,0,2,True
1.0,1.9912942406108414e-09,6.862999751833243e-13,4.286952390297749e-11,SSPT,,34,0,0,0,2,True
1.0,4.757426452783875e-09,2.9361534904792652e-12,1.383597125759195e-10,SSPT,,35,0,0,0,4,True
1.0,2.2563888535387377e-09,8.686075947048066e-13,4.4187344755419744e-11,SSPT,,36,0,0,0,4,True
1.0,3.6529577140953506e-09,1.5239944722855725e-12,6.919697453922069e-11,SSPT,,37,0,0,0,3,True
1.0,3.097470724355844e-09,1.1593585249811134e-12,5.999749308482905e-11,SSPT,,38,0,0,0,2,True
1.0,4.836771427818576e-09,2.388551379253756e-12,9.801801731379456e-11,SSPT,,39,0,0,0,2,True
1.0,4.308498890992496e-09,1.6640653698746233e-12,7.813470009887524e-11,SSPT,,40,0,0,0,2,True
1.0,2.1004276096192598e-09,8.646801265450865e-13,4.9021699893847526e-11,SSPT,,41,0,0,0,4,True
1.0,2.5026924976856435e-09,1.058666717658474e-12,5.840377487187354e-11,SSPT,,42,0,0,0,4,True
1.0,2.9307307691794904e-09,1.5440484177689506e-12,7.268911167424008e-11,SSPT,,43,0,0,0,5,True
1.0,2.73489542124139e-09,1.4576546350161812e-12,7.626083098344338e-11,SSPT,,44,0,0,0,5,True
1.0,3.4550036165370557e-09,1.763795923551137e-12,8.521265637551068e-11,SSPT,,45,0,0,0,4,True
1.0,4.67536898085541e-09,2.9664549896363246e-12,1.3668831344570975e-10,SSPT,,46,0,0,0,4,True
1.0,4.761929517371755e-09,2.3277844495711575e-12,1.0611037742913609e-10,SSPT,,47,0,0,0,3,True
1.0,3.2361251456336504e-09,1.2202832060798086e-12,5.873836139702604e-11,SSPT,,48,0,0,0,2,True
1.0,4.133000608419479e-09,1.783287168106995e-12,9.702992576077207e-11,SSPT,,49,0,0,0,1,True
1.0,4.490062099904435e-09,1.768606528590455e-12,8.634943454710609e-11,SSPT,,50,0,0,0,1,True
1.0,3.5242901930132575e-09,1.2812262101952188e-12,6.927713958049253e-11,SSPT,,51,0,0,0,1,True
1.0,3.542513393739455e-09,1.2823923780519442e-12,6.569093186081787e-11,SSPT,,52,0,0,0,1,True
1.0,2.835532697531562e-09,1.0040552373899447e-12,5.506834571677999e-11,SSPT,,53,0,0,0,1,True
1.0,4.485106064322508e-09,1.8012030669062318e-12,9.33284352577779e-11,SSPT,,54,0,0,0,1,True
1.0,3.8677381297702595e-09,1.6432862015580696e-12,9.472349293826454e-11,SSPT,,55,0,0,0,0,True
1.0,3.5596154912553857e-09,1.3485525630213546e-12,6.82807976826183e-11,SSPT,,56,0,0,0,0,True
1.0,3.5225897754287416e-09,1.2992077032258909e-12,6.427099824568572e-11,SSPT,,57,0,0,0,0,True
1.0,5.003325753705212e-09,1.9540317714589195e-12,9.087932489881823e-11,SSPT,,58,0,0,0,0,True
1.0,3.546671401011281e-09,1.3014000684388738e-12,5.5877642790580495e-11,SSPT,,59,0,0,0,0,True
1.0,2.5591948560332867e-09,8.41356823620687e-13,4.8604040930877446e-11,SSPT,,60,0,0,0,0,True
1.0,2.929869902246196e-09,9.771048987278208e-13,5.522159465809473e-11,SSPT,,61,0,0,0,0,True
1.0,4.376322859656057e-09,1.7824133011559717e-12,1.0651978604725443e-10,SSPT,,62,0,0,0,1,True
1.0,2.9037334758896804e-09,1.1680570790109646e-12,6.62537802398333e-11,SSPT,,63,0,0,0,2,True
1.0,3.909711665528448e-09,1.6572932262648443e-12,6.476012781586604e-11,SSPT,,64,0,0,0,2,True
1.0,4.624911120743036e-09,1.9969356029880814e-12,8.846006566143316e-11,SSPT,,65,0,0,0,2,True
1.0,5.1685717927796304e-09,2.5109844759008126e-12,1.198534466118062e-10,SSPT,,66,0,0,0,2,True
1.0,3.7739362745981e-09,1.445982873368723e-12,6.708963246060407e-11,SSPT,,67,0,0,0,2,True
1.0,2.6963338228824796e-09,9.242682574156502e-13,5.157694757396136e-11,SSPT,,68,0,0,0,2,True
1.0,2.764179551917323e-09,1.0629500751813126e-12,5.545475190160687e-11,SSPT,,69,0,0,0,2,True
1.0,3.1629878716188387e-09,1.2088854223213374e-12,6.229714660799246e-11,SSPT,,70,0,0,0,2,True
1.0,4.283180921049734e-09,2.0933573884746037e-12,1.356326162493815e-10,SSPT,,71,0,0,0,2,True
1.0,4.408468701200263e-09,1.950334208369875e-12,9.599666894732906e-11,SSPT,,72,0,0,0,2,True
1.0,4.0469969597722866e-09,1.6918220296924247e-12,7.8039977258193e-11,SSPT,,73,0,0,0,2,True
1.0,2.036285806639171e-09,7.279614736531437e-13,4.39006296593103e-11,SSPT,,74,0,0,0,3,True
1.0,4.441536471944119e-09,3.2818758561453665e-12,1.5070225622970668e-10,SSPT,,75,0,0,0,5,True
1.0,3.484001753761845e-09,2.285100277402141e-12,9.905564563039704e-11,SSPT,,76,0,0,0,5,True
1.0,4.977188883259487e-09,2.994383603918682e-12,1.4431492112443323e-10,SSPT,,77,0,0,0,4,True
1.0,5.015517778872436e-09,2.938214992490029e-12,1.4021137029196495e-10,SSPT,,78,0,0,0,4,True
1.0,4.66201166560154e-09,2.9739329488603916e-12,1.341806110666255e-10,SSPT,,79,0,0,0,4,True
1.0,4.068117398503546e-09,2.2409580701515663e-12,9.992246613466094e-11,SSPT,,80,0,0,0,4,True
1.0,4.438648559812464e-09,2.760871609455706e-12,1.3582029945169438e-10,SSPT,,81,0,0,0,4,True
