P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,6.153362264171847e-09,2.727337886782033e-12,1.2085776823766992e-10,SSPT,,1,0,0,0,0,False
1.0,7.390840384147168e-09,3.087621304465049e-12,1.300711621743389e-10,SSPT,,2,0,0,0,0,False
1.0,6.841631705611917e-09,3.153627749566401e-12,1.3428480549748656e-10,SSPT,,3,0,0,0,0,False
1.0,5.885729681409657e-09,2.4680225311352055e-12,1.0627403124185975e-10,SSPT,,4,0,0,0,0,False
1.0,6.170462807375543e-09,2.667550859022927e-12,1.1741897731898376e-10,SSPT,,5,0,0,0,0,False
1.0,6.217814707554226e-09,2.390698316395712e-12,1.0715413972794963e-10,SSPT,,6,0,0,0,0,False
1.0,4.628873728762528e-09,1.983845596478795e-12,8.6551918410116e-11,SSPT,,7,0,0,0,0,False
1.0,3.273809445758502e-09,1.0623257915703954e-12,4.553751126179506e-11,SSPT,,8,0,0,0,0,False
1.0,5.0013317931529855e-09,2.0720454432104907e-12,9.036820597385642e-11,SSPT,,9,0,0,0,0,False
1.0,8.12969247476758e-09,4.009634638202364e-12,1.7542559072047936e-10,SSPT,,10,0,0,0,0,False
1.0,7.670452717434273e-09,3.458604930228759e-12,1.5686733856323798e-10,SSPT,,11,0,0,0,0,False
1.0,7.563988546621658e-09,3.635921641889639e-12,1.5349678472720285e-10,SSPT,,12,0,0,0,0,False
1.0,5.2194528699089915e-09,2.281255045977204e-12,1.0035526576412934e-10,SSPT,,13,0,0,0,0,False
1.0,7.145858127444171e-09,3.15023701569217e-12,1.4218758115358554e-10,SSPT,,14,0,0,0,0,False
1.0,9.887490826088197e-09,5.28797535273573e-12,2.613320115862905e-10,SSPT,,15,0,0,0,0,False
1.0,6.1786598060109554e-09,2.7356530669236934e-12,1.2585257835873165e-10,SSPT,,16,0,0,0,0,False
1.0,5.449944939783791e-09,2.1040051211701494e-12,9.998442351832892e-11,SSPT,,17,0,0,0,0,False
1.0,6.364270443981468e-09,2.8709179131225504e-12,1.2329319509785108e-10,SSPT,,18,0,0,0,0,False
1.0,5.1564308378715396e-09,2.247464367388652e-12,9.842961862238653e-11,SSPT,,19,0,0,0,0,False
1.0,6.295273635714693e-09,2.7969772765229495e-12,1.2013633143848068e-10,SSPT,,20,0,0,0,0,False
1.0,9.099615283503226e-09,5.339848355156995e-12,2.483641348138832e-10,SSPT,,21,0,0,0,0,False
1.0,4.126265995552103e-09,1.487325995870592e-12,6.553975417933344e-11,SSPT,,22,0,0,0,0,False
1.0,8.599581491353092e-09,3.6968791743141605e-12,1.821057471484977e-10,SSPT,,23,0,0,0,0,False
1.0,4.2898111729527955e-09,1.5998216206652982e-12,6.849380784768044e-11,SSPT,,24,0,0,0,0,False
1.0,7.080396713377013e-09,3.032889477755374e-12,1.3521571362584694e-10,SSPT,,25,0,0,0,0,False
1.0,5.59679369516175e-09,2.3786495776528804e-12,1.1587384524114341e-10,SSPT,,26,0,0,0,0,False
1.0,7.515080113762451e-09,3.5256227191166056e-12,1.5779400008852917e-10,SSPT,,27,0,0,0,0,False
1.0,6.761589066428542e-09,2.728513812458311e-12,1.1283977918719046e-10,SSPT,,28,0,0,0,0,False
1.0,6.493261484052937e-09,2.9531262418086568e-12,1.372526120535511e-10,SSPT,,29,0,0,0,0,False
1.0,6.282403042234819e-09,2.753908212582701e-12,1.1670249489004192e-10,SSPT,,30,0,0,0,0,False
1.0,7.744145769095212e-09,3.82683728455957e-12,1.9869945966366487e-10,SSPT,,31,0,0,0,0,False
1.0,6.153362264171847e-09,2.727337886782033e-12,1.2085776823766992e-10,SSPT,,32,0,0,0,0,False
1.0,5.4321569464832464e-09,2.3887792785504125e-12,1.1004120531454831e-10,SSPT,,33,0,0,0,0,False
1.0,7.878020014118192e-09,3.689933341516349e-12,1.5018403187738727e-10,SSPT,,34,0,0,0,0,False
1.0,6.555832321453181e-09,2.8973225728312624e-12,1.1980476333217638e-10,SSPT,,35,0,0,0,0,False
1.0,6.378099381976199e-09,2.8120405309861596e-12,1.1726858373251048e-10,SSPT,,36,0,0,0,0,False
1.0,6.923810413894671e-09,2.8285225724122842e-12,1.1805022237521e-10,SSPT,,37,0,0,0,0,False
1.0,3.2836526830948287e-09,1.0798373913795123e-12,4.629804872813281e-11,SSPT,,38,0,0,0,0,False
1.0,4.80518558276799e-09,1.9396131836074693e-12,8.36790151059752e-11,SSPT,,39,0,0,0,0,False
1.0,1.151948048061513e-08,6.201223996110672e-12,2.583046554427426e-10,SSPT,,40,0,0,0,0,False
1.0,3.525997938069736e-09,1.1447046652582338e-12,5.129225169597795e-11,SSPT,,41,0,0,0,0,False
1.0,4.0364205311504975e-09,1.2973851593739427e-12,5.726540422412718e-11,SSPT,,42,0,0,0,0,False
1.0,3.495816969234511e-09,1.1591904736443781e-12,5.371425526590201e-11,SSPT,,43,0,0,0,1,False
1.0,4.496412575605291e-09,1.7600723396099527e-12,8.499028564257216e-11,SSPT,,44,0,0,0,1,False
1.0,3.1038163150753917e-09,1.1459739407415626e-12,5.4342759459036216e-11,SSPT,,45,0,0,0,1,False
1.0,4.431940148208469e-09,1.7380379904383125e-12,7.8287008820066e-11,SSPT,,46,0,0,0,1,False
1.0,9.56174073252214e-09,5.296262126780471e-12,2.2700978596912336e-10,SSPT,,47,0,0,0,1,False
1.0,5.983904038942001e-09,2.6234407441566576e-12,1.246977798796678e-10,SSPT,,48,0,0,0,1,False
1.0,6.843067446027362e-09,3.234367634830093e-12,1.3803101717169142e-10,SSPT,,49,0,0,0,1,False
1.0,5.642498024371889e-09,2.6327141421783606e-12,1.2260001347463856e-10,SSPT,,50,0,0,0,1,False
1.0,4.50032500154407e-09,1.7173534729714168e-12,7.918128652750767e-11,SSPT,,51,0,0,0,1,False
1.0,5.748717946119086e-09,2.5144448155545174e-12,1.1404475280807347e-10,SSPT,,52,0,0,0,1,False
1.0,5.268241398681539e-09,2.10319847475382e-12,9.079252627497425e-11,SSPT,,53,0,0,0,0,True
1.0,5.760627086459635e-09,2.409223428395668e-12,1.0567411529160964e-10,SSPT,,54,0,0,0,0,True
1.0,7.239654209456603e-09,2.9928876217610867e-12,1.5106400852449298e-10,SSPT,,55,0,0,0,0,True
1.0,5.191117757874508e-09,2.0549130973213092e-12,9.956138691258332e-11,SSPT,,56,0,0,0,1,True
1.0,5.572688088761879e-09,2.2350287853106776e-12,1.0973016939530567e-10,SSPT,,57,0,0,0,1,True
1.0,3.905083367783391e-09,1.5050963947382812e-12,7.122745449006374e-11,SSPT,,58,0,0,0,1,True
1.0,5.217790643996523e-09,2.233767424503208e-12,1.0131652461442542e-10,SSPT,,59,0,0,0,1,True
1.0,6.333741975339535e-09,3.4375072233139292e-12,1.5007693698887437e-10,SSPT,,60,0,0,0,2,True
1.0,3.699078376939724e-09,1.4621656749952416e-12,6.95482768597877e-11,SSPT,,61,0,0,0,2,True
1.0,6.3060774380119256e-09,3.244463725460278e-12,1.6978655981159108e-10,SSPT,,62,0,0,0,2,True
1.0,5.1242627918668404e-09,2.41738920547796e-12,1.1477272604532018e-10,SSPT,,63,0,0,0,2,True
1.0,7.603912166587179e-09,3.8778819565210565e-12,1.7196857826640155e-10,SSPT,,64,0,0,0,1,True
1.0,5.3986908277181556e-09,2.3033827449558952e-12,1.00432627492264e-10,SSPT,,65,0,0,0,0,True
1.0,4.8151034270915716e-09,2.010832689594566e-12,8.778036630907593e-11,SSPT,,66,0,0,0,0,True
1.0,5.396569857651912e-09,2.2145542778045924e-12,1.0105867531695623e-10,SSPT,,67,0,0,0,0,True
1.0,7.3930399580035555e-09,3.938851848850344e-12,1.7266403584681456e-10,SSPT,,68,0,0,0,0,True
1.0,4.698387900958778e-09,2.042148134623334e-12,9.356387886683137e-11,SSPT,,69,0,0,0,0,True
1.0,5.9770712823592476e-09,2.5417367863211915e-12,1.0869925098910826e-10,SSPT,,70,0,0,0,0,True
1.0,6.576785338552327e-09,2.971931294809549e-12,1.226437562618088e-10,SSPT,,71,0,0,0,0,True
1.0,7.1891537167800834e-09,3.0536931490410257e-12,1.3430657974655702e-10,SSPT,,72,0,0,0,0,True
1.0,7.913621757893452e-09,3.5592910997001015e-12,1.5120237006893689e-10,SSPT,,73,0,0,0,0,True
1.0,5.279145121050988e-09,2.108902679223701e-12,9.529886602077653e-11,SSPT,,74,0,0,0,0,True
1.0,7.942731805599124e-09,3.848151398228028e-12,1.663235660309681e-10,SSPT,,75,0,0,0,0,True
1.0,1.1220675943945935e-08,5.649833899334933e-12,2.4326274328245745e-10,SSPT,,76,0,0,0,0,True
1.0,5.4862812071121425e-09,2.298011607393402e-12,1.0094655666925689e-10,SSPT,,77,0,0,0,0,True
1.0,6.8925825047472244e-09,2.937968444916006e-12,1.329263088489796e-10,SSPT,,78,0,0,0,0,True
1.0,7.93228505102661e-09,3.670237291170109e-12,1.6440904193615324e-10,SSPT,,79,0,0,0,0,True
1.0,5.8503171196377934e-09,2.5868007822588135e-12,1.1730302840184947e-10,SSPT,,80,0,0,0,0,True
1.0,7.352540354332859e-09,3.7628398660838336e-12,1.7262320739508397e-10,SSPT,,81,0,0,0,0,True
1.0,7.544148417082397e-09,3.339310598871048e-12,1.5511519846356236e-10,SSPT,,82,0,0,0,0,True
1.0,4.917945606308649e-09,2.0510051990108025e-12,8.807268109256583e-11,SSPT,,83,0,0,0,0,True
1.0,5.444106054852682e-09,2.543608769792205e-12,1.1225802232228688e-10,SSPT,,84,0,0,0,0,True
1.0,5.110705192379328e-09,2.251256906588006e-12,9.91923349014101e-11,SSPT,,85,0,0,0,0,True
1.0,6.212515835102295e-09,2.69458674123646e-12,1.2154527384566904e-10,SSPT,,86,0,0,0,0,True
1.0,8.247940996852776e-09,3.986521182608449e-12,1.638046226437595e-10,SSPT,,87,0,0,0,0,True
1.0,5.966056981776546e-09,2.576489802758042e-12,1.1302071084573484e-10,SSPT,,88,0,0,0,0,True
1.0,6.3809468819897575e-09,2.9324483379750133e-12,1.2370730828603627e-10,SSPT,,89,0,0,0,0,True
1.0,8.554691177664608e-09,3.944249874626715e-12,1.6431499216817969e-10,SSPT,,90,0,0,0,0,True
1.0,5.942514480494765e-09,2.2752019452482175e-12,1.0676264733389118e-10,SSPT,,91,0,0,0,0,True
