P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,7.346652619588667e-09,3.510350647314975e-12,1.4976866968829938e-10,SSPT,,1,0,0,0,0,False
1.0,7.83913822743898e-09,3.726826573041686e-12,1.502000746000931e-10,SSPT,,2,0,0,0,0,False
1.0,9.129029088228435e-09,4.8265896487875715e-12,1.9092892544758655e-10,SSPT,,3,0,0,0,0,False
1.0,8.457267774986121e-09,4.285568427908615e-12,2.120602166089114e-10,SSPT,,4,0,0,0,0,False
1.0,7.2573644871454235e-09,3.349548936826263e-12,1.3797994691255866e-10,SSPT,,5,0,0,0,0,False
1.0,4.975471146195787e-09,2.0639121921933734e-12,7.48316131282678e-11,SSPT,,6,0,0,0,0,False
1.0,1.2207879152015266e-09,2.7857897195657233e-13,1.276460707966276e-11,SSPT,,7,0,0,0,0,False
1.0,2.944036792129623e-09,9.1014717464033e-13,4.4067825777371894e-11,SSPT,,8,0,0,0,0,False
1.0,2.586780123436938e-09,7.575277753170406e-13,3.3721470060754655e-11,SSPT,,9,0,0,0,0,False
1.0,5.740073305560145e-09,2.2879480428283916e-12,1.0750789147806472e-10,SSPT,,10,0,0,0,0,False
1.0,2.826380463005762e-09,8.637240770693888e-13,4.3040921521297903e-11,SSPT,,11,0,0,0,1,False
1.0,5.706538352967527e-09,2.3107225768231876e-12,9.741359108250691e-11,SSPT,,12,0,0,0,1,False
1.0,4.070438208714222e-09,1.6565600887558096e-12,7.55837059607245e-11,SSPT,,13,0,0,0,2,True
1.0,1.4832799433150967e-09,5.711807979716377e-13,2.4701147377514943e-11,SSPT,,14,0,0,0,5,True
1.0,1.975029251255478e-09,8.687865422733754e-13,3.937900006079076e-11,SSPT,,15,0,0,0,5,True
1.0,1.3809955401455909e-09,4.962959297000191e-13,2.4904330334085678e-11,SSPT,,16,0,0,0,5,True
1.0,8.82284190151239e-10,2.949606433665791e-13,1.6334683605734313e-11,SSPT,,17,0,0,0,5,True
1.0,1.5082742832461804e-09,5.966261013880259e-13,3.323629912954651e-11,SSPT,,18,0,0,0,4,True
1.0,4.5389101366311024e-09,2.481351929484177e-12,1.0484715179392978e-10,SSPT,,19,0,0,0,3,True
1.0,2.5964190797367337e-09,1.119683772782265e-12,6.508530520088485e-11,SSPT,,20,0,0,0,3,True
1.0,2.5666739844609765e-09,1.1156354702904214e-12,5.669786168338575e-11,SSPT,,21,0,0,0,3,True
1.0,4.762755967391286e-09,2.0247993819805243e-12,8.366018294791999e-11,SSPT,,22,0,0,0,2,True
1.0,4.604666425933601e-09,2.0017518458786965e-12,8.73817893043416e-11,SSPT,,23,0,0,0,2,True
1.0,3.6362115540811146e-09,1.3999477575452057e-12,7.349994918248726e-11,SSPT,,24,0,0,0,1,True
1.0,4.376682127826825e-09,1.905489221271095e-12,7.173243943281449e-11,SSPT,,25,0,0,0,1,True
1.0,5.684594572841206e-09,2.5873337760468074e-12,1.0206345490981761e-10,SSPT,,26,0,0,0,1,True
1.0,4.887796833941138e-09,1.9131514948644845e-12,9.39745226080646e-11,SSPT,,27,0,0,0,1,True
