P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,1.8237835686107928e-09,5.033572300292e-13,3.066851286814831e-11,SSPT,,1,0,0,0,0,False
1.0,1.338471000700281e-09,3.19681266050878e-13,2.112728568481881e-11,SSPT,,2,0,0,0,0,False
1.0,9.584816273999763e-10,2.1576695237359583e-13,1.3900293242830042e-11,SSPT,,3,0,0,0,0,False
1.0,1.4263095149402716e-09,3.558366166826754e-13,2.2835504320806166e-11,SSPT,,4,0,0,0,0,False
1.0,1.2504056678963593e-09,2.610063315651445e-13,1.8190223632919e-11,SSPT,,5,0,0,0,0,False
1.0,1.0115283055611712e-09,2.1338338810749508e-13,1.4280502128038997e-11,SSPT,,6,0,0,0,0,False
1.0,1.0906044956016103e-09,2.3948958051064895e-13,1.629031631811273e-11,SSPT,,7,0,0,0,0,False
1.0,1.0644469750076269e-09,2.3468501989844237e-13,1.4820398380743782e-11,SSPT,,8,0,0,0,0,False
1.0,1.299497176532327e-09,3.2395028499998535e-13,2.09128721284646e-11,SSPT,,9,0,0,0,0,False
1.0,1.1728832349788831e-09,2.7408901970976673e-13,2.0692739188810094e-11,SSPT,,10,0,0,0,0,False
1.0,1.608783550821613e-09,3.787868185344684e-13,2.6451679388528326e-11,SSPT,,11,0,0,0,0,False
1.0,1.5681117515597975e-09,3.7067126711781695e-13,2.476653257477146e-11,SSPT,,12,0,0,0,0,False
1.0,1.153097173300921e-09,2.358733325845408e-13,1.666810786615791e-11,SSPT,,13,0,0,0,0,False
1.0,1.2203036359181851e-09,2.6470782488706435e-13,1.8285746181123663e-11,SSPT,,14,0,0,0,0,False
1.0,1.1242671238420598e-09,2.572952701590525e-13,1.8099341470012575e-11,SSPT,,15,0,0,0,1,False
1.0,9.409096835000241e-10,1.9322235055452969e-13,1.3689592862076161e-11,SSPT,,16,0,0,0,1,False
1.0,1.236087898703886e-09,2.6921452805743484e-13,2.0495867156244962e-11,SSPT,,17,0,0,0,1,False
1.0,1.3705203638636476e-09,3.3973147103676105e-13,2.3205066340681313e-11,SSPT,,18,0,0,0,1,False
1.0,1.426557094674763e-09,3.5657921385566504e-13,2.2838246918621685e-11,SSPT,,19,0,0,0,0,True
1.0,1.350335732119845e-09,3.2825440499442693e-13,2.1408071496087366e-11,SSPT,,20,0,0,0,0,True
1.0,2.051266489999648e-09,6.278389266811679e-13,4.2902487118468e-11,SSPT,,21,0,0,0,0,True
1.0,9.91252524507047e-10,2.1055938026134924e-13,1.422944054252362e-11,SSPT,,22,0,0,0,0,True
1.0,1.1683775058557444e-09,2.660999133714814e-13,1.6428481838803854e-11,SSPT,,23,0,0,0,0,True
1.0,1.0463064858967641e-09,2.2338940864220086e-13,1.473240800187181e-11,SSPT,,24,0,0,0,0,True
1.0,1.0956292539887613e-09,2.5115483694507224e-13,1.663513944649697e-11,SSPT,,25,0,0,0,0,True
1.0,1.3162880785344555e-09,3.3366159227915526e-13,2.289302601654608e-11,SSPT,,26,0,0,0,0,True
1.0,1.6668505464778605e-09,5.140963067577775e-13,3.1447275339324676e-11,SSPT,,27,0,0,0,0,True
1.0,1.3569712020711222e-09,3.214881431814337e-13,2.117319340688706e-11,SSPT,,28,0,0,0,0,True
1.0,1.3095268203144883e-09,3.20674856026798e-13,2.0334232561647347e-11,SSPT,,29,0,0,0,0,True
1.0,1.1155414370023209e-09,2.5685494855175184e-13,1.7470892788029602e-11,SSPT,,30,0,0,0,0,True
1.0,1.3374170659830042e-09,3.4763012780880675e-13,2.2019577133880475e-11,SSPT,,31,0,0,0,0,True
1.0,1.3315272218150653e-09,3.140983838040984e-13,1.9716096810729056e-11,SSPT,,32,0,0,0,0,True
1.0,1.2633991630650598e-09,2.8813063046584375e-13,1.9144774307533474e-11,SSPT,,33,0,0,0,0,True
1.0,1.2742459309933452e-09,2.9141695567086456e-13,1.867081315942709e-11,SSPT,,34,0,0,0,0,True
1.0,1.8226464781889717e-09,5.365256307808541e-13,3.196846259934105e-11,SSPT,,35,0,0,0,0,True
1.0,1.4359916589157251e-09,3.7419248472350675e-13,2.3696258497074574e-11,SSPT,,36,0,0,0,0,True
1.0,1.0524331406358556e-09,2.2569093946142593e-13,1.55097965720552e-11,SSPT,,37,0,0,0,0,True
1.0,1.2790379866345347e-09,2.9381464167026194e-13,2.3415007779914454e-11,SSPT,,38,0,0,0,0,True
1.0,8.881683166706011e-10,1.8509320595314072e-13,1.310877534993482e-11,SSPT,,39,0,0,0,0,True
1.0,9.03730812407133e-10,1.8271014313054473e-13,1.2000596696926102e-11,SSPT,,40,0,0,0,0,True
1.0,8.440713128443633e-10,1.9522611879960877e-13,1.2311712413448639e-11,SSPT,,41,0,0,0,0,True
1.0,9.595059191624955e-10,2.291689787155965e-13,1.7180555589302315e-11,SSPT,,42,0,0,0,0,True
1.0,8.143111740466225e-10,1.8016557484182988e-13,1.1461603367790563e-11,SSPT,,43,0,0,0,0,True
1.0,1.4236920531374153e-09,3.7062036382581875e-13,2.657309441933542e-11,SSPT,,44,0,0,0,1,True
1.0,8.193168921089011e-10,1.7893577787010673e-13,1.2724328535274054e-11,SSPT,,45,0,0,0,1,True
1.0,9.772554987463877e-10,2.1232295706764132e-13,1.4673236584106242e-11,SSPT,,46,0,0,0,1,True
1.0,9.240969656154618e-10,2.2375528621783325e-13,1.6982403330811913e-11,SSPT,,47,0,0,0,2,True
1.0,1.0620316848175548e-09,2.601891954927965e-13,1.9361248715377144e-11,SSPT,,48,0,0,0,2,True
1.0,1.0964800178925316e-09,2.4146507818408047e-13,1.794472730132224e-11,SSPT,,49,0,0,0,1,True
1.0,1.0405647454803102e-09,2.16002901871383e-13,1.5655131704872538e-11,SSPT,,50,0,0,0,1,True
