P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,1.8121442124652276e-08,1.1775107798539519e-11,5.164262906198758e-10,SSPT,,1,0,0,0,0,False
1.0,1.1222667239962902e-08,6.46162333708955e-12,2.3212781696813067e-10,SSPT,,2,0,0,0,0,False
1.0,8.962930841960315e-09,5.229369888504198e-12,1.8710821780842934e-10,SSPT,,3,0,0,0,0,False
1.0,1.5363957217573443e-08,8.969792790469722e-12,3.161068351520413e-10,SSPT,,4,0,0,0,0,False
1.0,1.7329272239408056e-08,1.2146503421128774e-11,4.0337169715520815e-10,SSPT,,5,0,0,0,0,False
1.0,1.3152021693940696e-08,8.569097688371219e-12,2.8489813286292076e-10,SSPT,,6,0,0,0,0,False
1.0,1.2352282752203791e-08,7.989196977586932e-12,2.6641161499085797e-10,SSPT,,7,0,0,0,0,False
1.0,1.1901003738046256e-08,7.600304934018975e-12,2.6220375870522616e-10,SSPT,,8,0,0,0,0,False
1.0,1.7155530329659996e-08,1.0759234649049265e-11,3.5888186866728233e-10,SSPT,,9,0,0,0,0,False
1.0,1.2600378518357047e-08,7.503853441392927e-12,2.5463198216613137e-10,SSPT,,10,0,0,0,0,False
1.0,9.028853220627298e-09,4.535614505501995e-12,1.6241893940893704e-10,SSPT,,11,0,0,0,0,False
1.0,6.8919780993326185e-09,3.0606144788697387e-12,1.201947846807272e-10,SSPT,,12,0,0,0,0,False
1.0,1.122774140327465e-08,6.401245852827309e-12,2.337160465160082e-10,SSPT,,13,0,0,0,0,False
1.0,1.3524526387698188e-08,8.269114559755764e-12,3.05332925609747e-10,SSPT,,14,0,0,0,0,False
1.0,1.2636865776016748e-08,7.89812399509815e-12,2.9106411725265957e-10,SSPT,,15,0,0,0,0,False
1.0,9.891943264506153e-09,5.877150328903458e-12,2.1383922410578293e-10,SSPT,,16,0,0,0,0,False
1.0,1.0235324587881678e-08,5.911067642305756e-12,2.2683233069642483e-10,SSPT,,17,0,0,0,0,False
1.0,1.214075417976801e-08,6.6644615173694355e-12,2.6084945314863717e-10,SSPT,,18,0,0,0,0,False
1.0,1.1640094221831987e-08,7.199557790216193e-12,2.6160432153865543e-10,SSPT,,19,0,0,0,0,False
1.0,1.3709864354893853e-08,8.871584022962509e-12,3.8777009381263383e-10,SSPT,,20,0,0,0,0,False
1.0,1.4775176637726872e-08,9.636167731807976e-12,3.2339084188315326e-10,SSPT,,21,0,0,0,0,False
1.0,1.3789510866502042e-08,8.668205910000726e-12,2.8340066404730635e-10,SSPT,,22,0,0,0,0,False
1.0,1.4878398069129162e-08,9.556621119455322e-12,2.861386683150613e-10,SSPT,,23,0,0,0,0,False
1.0,1.5446996570744886e-08,1.059432749861422e-11,3.266005521584958e-10,SSPT,,24,0,0,0,0,False
1.0,1.4328652042649992e-08,8.941351999081082e-12,3.202273168856351e-10,SSPT,,25,0,0,0,0,False
1.0,1.3432926770917675e-08,8.249486163625086e-12,3.0955199514792753e-10,SSPT,,26,0,0,0,0,False
