P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
0.2349136769771576,0.4309028089046478,0.17400020360946655,0.1601833701133728,SSPT,,1,0,0,0,0,False
0.21708618104457855,0.5270875096321106,0.12999802827835083,0.1258283257484436,SSPT,,2,0,0,0,0,False
0.21745365858078003,0.5015966892242432,0.15054981410503387,0.13039982318878174,ATCS,,2,1,0,0,0,False
0.21600842475891113,0.5054887533187866,0.14781564474105835,0.13068713247776031,ATCS,,2,2,0,0,0,False
0.2157149761915207,0.5262152552604675,0.13804280757904053,0.12002693116664886,ATCS,,2,3,0,0,0,False
0.15532490611076355,0.7093625664710999,0.0694962590932846,0.06581621617078781,ATCS,,2,4,0,0,0,False
0.18328744173049927,0.6297626495361328,0.09743636846542358,0.08951351791620255,ATCS,,2,5,0,0,0,False
0.1701200157403946,0.667758047580719,0.0853058397769928,0.07681606709957123,SSPT,,3,5,0,0,0,False
0.18485192954540253,0.6343496441841125,0.09620557725429535,0.08459281176328659,MDD,,3,5,1,0,0,False
0.16000714898109436,0.6971715688705444,0.07636412233114243,0.06645724922418594,ATCS,,3,6,1,0,0,False
0.15674543380737305,0.7246867418289185,0.06487911194562912,0.053688712418079376,ATCS,,3,7,1,0,0,False
0.15072782337665558,0.7262624502182007,0.06605139374732971,0.056958284229040146,ATCS,,3,8,1,0,0,False
0.12639054656028748,0.7668880224227905,0.052511442452669144,0.05420989170670509,ATCS,,3,9,1,0,3,False
0.1421928107738495,0.7205449938774109,0.07162512093782425,0.06563711166381836,ATCS,,3,10,1,0,3,False
0.15530268847942352,0.6911568641662598,0.07653649151325226,0.07700406759977341,ATCS,,3,11,1,0,2,True
0.14367155730724335,0.724830687046051,0.06763602048158646,0.06386179476976395,ATCS,,3,12,1,0,2,True
0.15071284770965576,0.7118323445320129,0.07012232393026352,0.06733253598213196,ATCS,,3,13,1,0,1,True
0.191450834274292,0.5966935157775879,0.1012459248304367,0.11060967296361923,ATCS,,3,14,1,0,3,True
0.20325565338134766,0.5587560534477234,0.11391708999872208,0.12407125532627106,ATCS,,3,15,1,0,3,True
0.19259922206401825,0.5917558670043945,0.105942003428936,0.1097029522061348,ATCS,,3,16,1,0,3,True
0.15549194812774658,0.6944422721862793,0.08037735521793365,0.0696883350610733,ATCS,,3,17,1,0,2,True
0.14451777935028076,0.7252830266952515,0.06662485003471375,0.06357429921627045,ATCS,,3,18,1,0,1,True
0.1423855423927307,0.7270159125328064,0.06931809335947037,0.06128034368157387,ATCS,,3,19,1,0,1,True
0.16739115118980408,0.6683129072189331,0.0836770310997963,0.0806189551949501,ATCS,,3,20,1,0,1,True
0.152506485581398,0.7034982442855835,0.0745413675904274,0.06945393979549408,ATCS,,3,21,1,0,1,True
0.15270200371742249,0.7108593583106995,0.07078337669372559,0.06565536558628082,COVERT,,3,21,1,1,1,True
0.14930619299411774,0.7247684001922607,0.06710205227136612,0.05882339924573898,SSPT,,4,21,1,1,1,True
0.16958627104759216,0.6475474834442139,0.09142279624938965,0.09144345670938492,ATCS,,4,22,1,1,3,True
0.12375626713037491,0.7768433690071106,0.05071575939655304,0.048684705048799515,ATCS,,4,23,1,1,2,True
0.12549683451652527,0.7630701065063477,0.05529601499438286,0.0561370812356472,ATCS,,4,24,1,1,2,True
0.12534160912036896,0.7712311744689941,0.0508047454059124,0.05262250825762749,ATCS,,4,25,1,1,3,True
0.14725258946418762,0.7047175765037537,0.07474279403686523,0.07328696548938751,ATCS,,4,26,1,1,3,True
0.16436317563056946,0.6861185431480408,0.07025908678770065,0.0792592242360115,ATCS,,4,27,1,1,4,True
0.16067396104335785,0.6686566472053528,0.08482403308153152,0.08584532141685486,ATCS,,4,28,1,1,4,True
0.17294515669345856,0.6585664749145508,0.07762899249792099,0.09085935354232788,ATCS,,4,29,1,1,4,True
0.13012272119522095,0.7564512491226196,0.053391583263874054,0.06003439053893089,ATCS,,4,30,1,1,4,True
0.15945036709308624,0.686815083026886,0.07060769200325012,0.08312682062387466,SSPT,,5,30,1,1,4,True
0.1645740121603012,0.6703572273254395,0.07667271047830582,0.08839597553014755,SSPT,,6,30,1,1,4,True
0.1858883649110794,0.6257132887840271,0.0889209732413292,0.09947733581066132,ATCS,,6,31,1,1,4,True
0.17832545936107635,0.6153329014778137,0.10284271091222763,0.10349896550178528,ATCS,,6,32,1,1,4,True
0.09748149663209915,0.8275682926177979,0.03515759855508804,0.039792586117982864,ATCS,,6,33,1,1,4,True
0.11815858632326126,0.7760809063911438,0.05262410268187523,0.05313650146126747,ATCS,,6,34,1,1,4,True
0.08797396719455719,0.850879967212677,0.03017687238752842,0.03096913732588291,ATCS,,6,35,1,1,3,True
0.07283193618059158,0.8818032741546631,0.021939773112535477,0.02342504821717739,ATCS,,6,36,1,1,4,True
0.09461143612861633,0.8389198780059814,0.03323642164468765,0.0332321897149086,ATCS,,6,37,1,1,4,True
0.09983795881271362,0.8292050957679749,0.03434167057275772,0.03661524876952171,ATCS,,6,38,1,1,4,True
0.11522237956523895,0.7897451519966125,0.04453960806131363,0.050492823123931885,ATCS,,6,39,1,1,6,True
0.13885408639907837,0.7419964075088501,0.05251969397068024,0.06662975251674652,ATCS,,6,40,1,1,7,True
0.12325388193130493,0.7643806338310242,0.049586545675992966,0.06277889758348465,ATCS,,6,41,1,1,8,True
0.1375577598810196,0.7526492476463318,0.046561647206544876,0.06323129683732986,ATCS,,6,42,1,1,7,True
0.13000868260860443,0.7563874125480652,0.05208464711904526,0.06151927262544632,SSPT,,7,42,1,1,6,True
0.1285870224237442,0.7703062295913696,0.04411206766963005,0.056994643062353134,ATCS,,7,43,1,1,6,True
0.046198997646570206,0.9307668805122375,0.010858096182346344,0.012176085263490677,ATCS,,7,44,1,1,5,True
0.035692039877176285,0.9491155743598938,0.00756818475201726,0.007624281570315361,ATCS,,7,45,1,1,5,True
0.04382835701107979,0.9362717270851135,0.009646158665418625,0.0102537265047431,ATCS,,7,46,1,1,5,True
0.03729148581624031,0.9467094540596008,0.007592495530843735,0.008406463079154491,ATCS,,7,47,1,1,5,True
0.050417523831129074,0.9289067983627319,0.00844409130513668,0.012231647036969662,ATCS,,7,48,1,1,9,True
0.0561346635222435,0.9197113513946533,0.009961013682186604,0.014192953705787659,ATCS,,7,49,1,1,9,True
0.05312329903244972,0.9222131967544556,0.010128635913133621,0.01453481800854206,ATCS,,7,50,1,1,10,True
0.055062055587768555,0.9209668636322021,0.009314235299825668,0.014656766317784786,ATCS,,7,51,1,1,10,True
0.05420438200235367,0.9215054512023926,0.00888084713369608,0.015409259125590324,ATCS,,7,52,1,1,11,True
0.03705424815416336,0.948421835899353,0.005340291187167168,0.00918352510780096,ATCS,,7,53,1,1,11,True
0.053396739065647125,0.9161837697029114,0.012614087201654911,0.017805464565753937,ATCS,,7,54,1,1,12,True
0.051676709204912186,0.9260165691375732,0.0077930050902068615,0.014513799920678139,ATCS,,7,55,1,1,12,True
0.05678877979516983,0.9172497987747192,0.010026544332504272,0.015934843569993973,ATCS,,7,56,1,1,11,True
0.06824453175067902,0.8933409452438354,0.0157681405544281,0.02264641411602497,ATCS,,7,57,1,1,11,True
0.03951551020145416,0.9397743344306946,0.008878964930772781,0.011831220239400864,ATCS,,7,58,1,1,11,True
0.03866967931389809,0.940617561340332,0.008820505812764168,0.011892152950167656,ATCS,,7,59,1,1,11,True
0.045936014503240585,0.9300194382667542,0.00963612087070942,0.014408392831683159,ATCS,,7,60,1,1,11,True
0.048827916383743286,0.9210307598114014,0.014137030579149723,0.016004374250769615,ATCS,,7,61,1,1,10,True
0.04286057874560356,0.9379855394363403,0.007925574667751789,0.011228444054722786,ATCS,,7,62,1,1,11,True
0.03527243435382843,0.9477506279945374,0.006979736033827066,0.00999719463288784,ATCS,,7,63,1,1,12,True
0.03178098797798157,0.9518468379974365,0.007321419194340706,0.009050752967596054,ATCS,,7,64,1,1,12,True
0.043294355273246765,0.9337480068206787,0.009372465312480927,0.013585200533270836,ATCS,,7,65,1,1,12,True
