episode, reward, reward_tard, reward_setup 
818,-67.24,-92.08,-42.40
819,-66.36,-97.12,-35.60
820,-46.46,-55.92,-37.00
821,-66.15,-89.89,-42.40
822,-63.29,-94.18,-32.40
823,-61.51,-83.02,-40.00
824,-67.92,-96.44,-39.40
825,-56.36,-77.51,-35.20
826,-61.38,-81.15,-41.60
827,-54.42,-73.04,-35.80
828,-65.26,-94.12,-36.40
829,-56.60,-75.39,-37.80
830,-66.10,-95.81,-36.40
831,-56.14,-70.27,-42.00
832,-66.70,-91.60,-41.80
833,-66.62,-94.43,-38.80
834,-59.34,-82.08,-36.60
835,-68.46,-95.52,-41.40
836,-63.32,-89.64,-37.00
837,-67.59,-97.58,-37.60
838,-59.72,-82.84,-36.60
839,-51.79,-64.77,-38.80
840,-71.19,-98.58,-43.80
841,-65.07,-88.13,-42.00
842,-67.74,-98.27,-37.20
843,-56.73,-77.46,-36.00
844,-53.54,-75.28,-31.80
845,-57.88,-74.57,-41.20
846,-63.67,-89.33,-38.00
847,-57.24,-73.89,-40.60
848,-65.06,-92.53,-37.60
849,-66.60,-96.99,-36.20
850,-65.75,-92.70,-38.80
851,-56.50,-74.39,-38.60
852,-62.53,-87.07,-38.00
853,-70.62,-97.24,-44.00
854,-57.26,-76.72,-37.80
855,-64.90,-91.79,-38.00
856,-68.39,-98.58,-38.20
857,-62.58,-86.97,-38.20
858,-55.82,-72.44,-39.20
859,-68.57,-96.95,-40.20
860,-69.27,-97.54,-41.00
861,-66.64,-92.47,-40.80
862,-57.88,-75.95,-39.80
863,-66.45,-98.70,-34.20
864,-67.71,-95.62,-39.80
865,-56.07,-75.14,-37.00
866,-66.12,-92.64,-39.60
867,-60.59,-84.18,-37.00
868,-56.14,-75.68,-36.60
869,-60.79,-88.57,-33.00
870,-55.47,-73.55,-37.40
871,-68.63,-95.07,-42.20
872,-55.80,-74.00,-37.60
873,-58.57,-71.53,-45.60
874,-63.67,-94.74,-32.60
875,-68.63,-92.87,-44.40
876,-63.02,-89.63,-36.40
877,-67.61,-98.22,-37.00
878,-59.17,-80.14,-38.20
879,-68.26,-98.71,-37.80
880,-54.30,-69.99,-38.60
881,-63.81,-87.62,-40.00
882,-58.69,-79.18,-38.20
883,-52.74,-75.07,-30.40
884,-54.65,-68.50,-40.80
885,-63.14,-89.69,-36.60
886,-67.98,-95.96,-40.00
887,-66.47,-96.55,-36.40
888,-60.79,-77.79,-43.80
889,-65.96,-91.91,-40.00
890,-66.10,-87.60,-44.60
891,-58.97,-78.94,-39.00
892,-66.11,-93.23,-39.00
893,-59.74,-81.69,-37.80
894,-62.08,-85.16,-39.00
895,-69.98,-97.97,-42.00
896,-66.68,-97.96,-35.40
897,-64.18,-87.37,-41.00
898,-57.48,-76.35,-38.60
899,-63.82,-82.64,-45.00
900,-68.60,-97.40,-39.80
901,-67.03,-98.05,-36.00
902,-67.65,-97.29,-38.00
903,-56.89,-77.99,-35.80
904,-70.91,-97.02,-44.80
905,-55.97,-72.13,-39.80
906,-57.92,-79.04,-36.80
907,-54.58,-70.95,-38.20
908,-57.46,-74.32,-40.60
909,-61.06,-83.11,-39.00
910,-66.20,-94.01,-38.40
911,-67.54,-94.68,-40.40
912,-67.09,-94.59,-39.60
913,-44.99,-59.58,-30.40
914,-66.15,-94.50,-37.80
915,-59.68,-81.76,-37.60
916,-64.37,-87.35,-41.40
917,-63.39,-90.59,-36.20
918,-61.74,-80.09,-43.40
919,-56.49,-78.78,-34.20
920,-65.15,-89.90,-40.40
921,-60.99,-83.58,-38.40
922,-61.97,-85.74,-38.20
923,-65.57,-92.34,-38.80
924,-64.55,-91.31,-37.80
925,-62.77,-90.74,-34.80
926,-58.84,-77.48,-40.20
927,-67.95,-94.09,-41.80
928,-49.26,-67.13,-31.40
929,-61.81,-89.21,-34.40
930,-60.30,-83.60,-37.00
931,-65.95,-92.30,-39.60
932,-68.28,-97.56,-39.00
933,-67.88,-93.75,-42.00
934,-59.92,-82.24,-37.60
935,-64.10,-85.00,-43.20
936,-73.12,-98.43,-47.80
937,-57.01,-75.42,-38.60
938,-65.96,-92.73,-39.20
939,-59.74,-78.49,-41.00
940,-65.99,-90.79,-41.20
941,-61.92,-91.25,-32.60
942,-61.89,-87.58,-36.20
943,-67.37,-95.75,-39.00
944,-62.19,-83.79,-40.60
945,-70.66,-97.12,-44.20
946,-60.10,-83.61,-36.60
947,-59.86,-80.31,-39.40
948,-63.71,-92.23,-35.20
949,-65.68,-93.37,-38.00
950,-59.50,-80.60,-38.40
951,-64.25,-89.89,-38.60
952,-50.08,-62.77,-37.40
953,-57.49,-77.97,-37.00
954,-67.31,-98.21,-36.40
955,-54.29,-72.18,-36.40
956,-62.46,-88.72,-36.20
957,-64.37,-89.35,-39.40
958,-55.55,-77.30,-33.80
959,-66.87,-95.73,-38.00
960,-59.02,-82.23,-35.80
961,-65.11,-94.42,-35.80
962,-66.00,-94.80,-37.20
963,-70.90,-98.20,-43.60
964,-60.64,-75.27,-46.00
965,-66.16,-96.91,-35.40
966,-58.99,-77.58,-40.40
967,-63.08,-88.96,-37.20
968,-65.07,-87.73,-42.40
969,-63.22,-88.04,-38.40
970,-53.60,-68.21,-39.00
971,-62.78,-91.56,-34.00
972,-61.35,-81.11,-41.60
973,-54.20,-71.60,-36.80
974,-65.41,-85.22,-45.60
975,-67.96,-96.32,-39.60
976,-60.73,-83.46,-38.00
977,-59.73,-85.46,-34.00
978,-68.83,-98.85,-38.80
979,-65.73,-97.87,-33.60
980,-65.90,-95.39,-36.40
981,-69.39,-96.58,-42.20
982,-63.36,-83.12,-43.60
983,-67.38,-98.36,-36.40
984,-63.43,-83.07,-43.80
985,-66.39,-92.98,-39.80
986,-65.24,-96.47,-34.00
987,-55.36,-74.72,-36.00
988,-67.75,-94.49,-41.00
989,-63.39,-83.58,-43.20
990,-63.41,-91.42,-35.40
991,-66.22,-95.83,-36.60
992,-55.59,-74.17,-37.00
993,-67.49,-98.98,-36.00
994,-67.60,-95.60,-39.60
995,-65.55,-89.69,-41.40
996,-64.96,-93.32,-36.60
997,-59.55,-81.89,-37.20
998,-58.40,-76.99,-39.80
999,-68.65,-98.70,-38.60
1000,-66.62,-92.24,-41.00
